Id;Register;Type;ValueHandling;Min;Max;Name;ValueType;Format;Multiplicator;Divisor;DigiVisuFormat;SecurityLevel;DefaultValue;DefaultExtModbusIndex
SYS.CollectiveFault;0;input-register;READ_ONLY;0;65535;Sammelstörung-Bitfeld;uint16_t;;1;1;;ALL;;1
SYS.CollectiveWarning;1;input-register;READ_ONLY;0;65535;Sammelwarnung-Bitfeld;uint16_t;;1;1;;ALL;;2
SYS.CollectiveMessage;2;input-register;READ_ONLY;0;65535;Sammelmeldung-Bitfeld;uint16_t;;1;1;;ALL;;3
SYS.Config.TfOffset;3;input-register;READ_ONLY;-30;30;SYS-Konfiguration TF-Offset;int16_t;°C;1;10;####,# °C;SERVICE1;;
SYS.Config.Modbus;4;input-register;READ_ONLY;0;1;SYS-Konfiguration Modbus;uint16_t;;1;1;#;SERVICE1;;
SYS.Config.Modbus2;5;input-register;READ_ONLY;0;1;SYS-Konfiguration Modbus2-Extension;uint16_t;;1;1;#;SERVICE1;;
EXM.Status.DE.ReleaseExtern;10;input-register;READ_ONLY;0;1;Signal Freigabe von extern;uint16_t;;1;1;;ALL;;
EXM.Status.DE.HighPressure;11;input-register;READ_ONLY;0;1;Störung eXm Hochdruck;uint16_t;;1;1;;ALL;;4
EXM.Status.DE.LowPressure;12;input-register;READ_ONLY;0;1;Störung eXm Niederdruck;uint16_t;;1;1;;ALL;;5
EXM.Status.DE.CompressorFault;13;input-register;READ_ONLY;0;1;Störung eXm Kompressor Motorschutz;uint16_t;;1;1;;ALL;;6
EXM.Status.DE.CompressorOverheat;14;input-register;READ_ONLY;0;1;Störung eXm Kompressor Überhitzung;uint16_t;;1;1;;ALL;;7
EXM.Status.DA.CollectiveFault;15;input-register;READ_ONLY;0;1;(DA) Sammelstörmeldung;uint16_t;;1;1;;ALL;;8
EXM.Status.DA.Release;16;input-register;READ_ONLY;0;1;(DA) Kompressor Freigabe;uint16_t;;1;1;;ALL;;9
EXM.Status.HT.Temp.SP.HTTOP;17;input-register;READ_ONLY;-270;1005;HT-Speicher Isttemp. oben;int16_t;°C;1;10;###,# °C;ALL;;10
EXM.Status.NT.Temp.SP.NTBOT;18;input-register;READ_ONLY;-270;1005;NT-Speicher Isttemp. unten;int16_t;°C;1;10;###,# °C;ALL;;11
EXM.Status.HT.Temp.IN;19;input-register;READ_ONLY;-270;1005;HT-Eintritt Isttemp.;int16_t;°C;1;10;###,# °C;ALL;;12
EXM.Status.HT.Temp.OUT;20;input-register;READ_ONLY;-270;1005;HT-Austritt Isttemp.;int16_t;°C;1;10;###,# °C;ALL;;13
EXM.Status.HT.Velocity;21;input-register;READ_ONLY;0;1000;HT-Kreis Volumenstrom;uint16_t;l/min;1;10;###,# l/min;ALL;;14
