Id;Register;Type;ValueHandling;Min;Max;Name;ValueType;Format;Multiplicator;Divisor;DigiVisuFormat;SecurityLevel;DefaultValue;DefaultExtModbusIndex
SYS.CollectiveFaultSignal;0;coil;READ_ONLY;0;1;Sammelstoermeldung;uint16_t;;1;1;#;ALL;0;1
SYS.Update;1;coil;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;System-Reset;uint16_t;;1;1;#;ADMIN;0;0
SYS.Time.Hour;0;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;23;Systemzeit-Stunde;uint16_t;;1;1;##;ALL;12;
SYS.Time.Minute;1;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;59;Systemzeit-Minute;uint16_t;;1;1;##;ALL;0;
SYS.Time.Year;2;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;99;Systemdatum-Jahr;uint16_t;;1;1;##;ALL;25;
SYS.Time.Month;3;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;1;12;Systemdatum-Monat;uint16_t;;1;1;##;ALL;1;
SYS.Time.Day;4;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;1;31;Systemdatum-Tag;uint16_t;;1;1;##;ALL;1;
SYS.OperationMode.CirculationPump;5;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;A01 Betriebsmodus Zirkulations-Pumpe;uint16_t;;1;1;#;SERVICE1;2;
SYS.OperationMode.HgPump;6;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;A02 Betriebsmodus HG-Pumpe;uint16_t;;1;1;#;SERVICE1;2;
SYS.OperationMode.A03;7;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;A03 Betriebsmodus;uint16_t;;1;1;#;SERVICE1;2;
SYS.OperationMode.A04;8;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;A04 Betriebsmodus;uint16_t;;1;1;#;SERVICE1;2;
SYS.OperationMode.CollectiveFaultSignal;9;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;A05 Betriebsmodus SammelStoerMeldung SSM;uint16_t;;1;1;#;SERVICE1;2;
SYS.OperationMode.A06;10;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;A06 Betriebsmodus;uint16_t;;1;1;#;SERVICE1;2;
SYS.OperationMode.FWE.AdjustableThrottleValve;11;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;A07 Betriebsmodus FWE-regelb.Drosselventil (OptiStep);uint16_t;;1;1;#;SERVICE1;2;
SYS.OperationMode.FWE.AdjustableThrottleValve.PWM.On;12;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;100;A07 relativer  ffnungsgrad FWE-regelb.Drosselventil (OptiStep);int16_t;%;1;1;####%;SERVICE1;100;
SYS.OperationMode.HG.AdjustableThrottleValve;13;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;A08 Betriebsmodus HG-regelb.Drosselventil;uint16_t;;1;1;#;SERVICE1;2;
SYS.OperationMode.HG.AdjustableThrottleValve.PWM.On;14;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;100;A08 0..10V HG-regelb.Drosselventil;int16_t;V;1;10;###,#V;SERVICE1;50;
HG.Ambient.Temperature;15;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;-500;500;TF06 Extern-Wert HG-AT;int16_t;°C;1;10;####,# °C;ALL;0;2
SYS.OperationMode.DI01;16;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;DI01 Betriebsmodus;uint16_t;;1;1;#;SERVICE1;0;
SYS.OperationValue.DI01;17;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;DI01 Wert;uint16_t;;1;1;#;SERVICE1;0;
FWE.Switch;18;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;FWE-Bereitung Schalter;uint16_t;;1;1;#;ALL;2;
FWE.SetPoint;19;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;300;600;FWE-Solltemperatur;int16_t;°C;1;10;####,# °C;ALL;450;3
FWE.VFL.TempRetaining.OpenTemp;20;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;200;550;VFL-Temp.vorhaltung Auf-Temp.;int16_t;°C;1;10;####,# °C;SERVICE1;350;
FWE.VFL.TempRetaining.CloseTemp;21;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;250;600;VFL-Temp.vorhaltung Zu-Temp.;int16_t;°C;1;10;####,# °C;SERVICE1;400;
ZP.Switch;22;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;ZP-Betrieb Schalter;uint16_t;;1;1;#;ALL;1;
ZP.StartMode;23;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;3;ZP-Startmodus;uint16_t;;1;1;#;ALL;2;
ZP.Runtime;24;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;59;ZP-Laufzeit;uint16_t;min;1;1;#* min;ALL;59;
ZP.PauseTime;25;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;59;ZP-Pausenzeit;uint16_t;min;1;1;#* min;ALL;1;
ZP.Stop.Mode;26;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;ZP Abschalt-Modus;uint16_t;;1;1;#;ALL;1;
ZP.Stop.DeltaT;27;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;20;200;ZP Abschalt-deltaT;uint16_t;K;1;10;####,# K;ALL;100;
HG.Switch;28;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;HG-Betrieb Schalter;uint16_t;;1;1;#;ALL;1;
HG.HeatCurve.Slope;29;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;30;HG-Heizkurve Steigung;uint16_t;K;1;10;####,# K;ALL;10;
HG.HeatCurve.ParallelShift;30;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;40;HG-Heizkurve Parallelversch.;uint16_t;K;1;1;#### K;ALL;10;
HG.HeatCurve.MinTemp;31;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;150;800;HG-Heizkurve Min.temp.;uint16_t;°C;1;10;####,# °C;ALL;400;
HG.HeatCurve.MaxTemp;32;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;150;900;HG-Heizkurve Max.temp.;uint16_t;°C;1;10;####,# °C;ALL;600;
HG.Stop.AmbientTemp;33;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;50;550;HG-AT-Abschalttemp.;uint16_t;°C;1;10;####,# °C;ALL;180;
HG.Party.State;34;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;HG-Partyprg. Status;uint16_t;;1;1;#;ALL;1;
HG.Party.FlowShift;35;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;-200;200;HG-Partyprg. VT-Verschiebung;int16_t;K;1;10;####,# K;ALL;10;
HG.Party.Runtime.Days;36;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;99;HG-Partyprg. Laufzeit Tage;uint16_t;;1;1;##;ALL;10;
HG.Party.Runtime.Hours;37;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;23;HG-Partyprg. Laufzeit Stunden;uint16_t;;1;1;##;ALL;0;
HG.WP.VTNomShift;38;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;-210;200;HG-Wochenprg. VT-Verschiebung;int16_t;K;1;10;####,# K;ALL;10;
SYS.Time.DaylightSaving;50;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;Systemdatum/zeit-DaylightSavingTime ;uint16_t;;1;1;#;ALL;1;
SYS.Config.AntiLock.Switch;51;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;SYS-Konf. Antiblockierfunktion-Schalter;uint16_t;;1;1;#;SERVICE1;1;
SYS.Config.AntiLock.HourOfDay;52;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;23;SYS-Konf. Antiblockierfunktion-Uhrzeit;uint16_t;;1;1;##;SERVICE1;2;
SYS.Config.Modbus.SlaveId;53;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;128;SYS-Konf. Modbus-Slaveadresse;uint16_t;;1;1;###;SERVICE1;1;
SYS.Config.Language;54;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;0;SYS-Konf. Sprache;uint16_t;;1;1;#;SERVICE1;0;
SYS.Config.FactoryDefaults;55;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;123;123;SYS-Konf. Reset auf Werkseinstellung;uint16_t;;1;1;###;ADMIN;0;
SYS.A06.Function;56;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;0;A06-Konfig Funktion;uint16_t;;1;1;#;ADMIN;0;
SYS.VFF.HZModul.Cfg;57;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;3;VF-flat Heizungsmodul-Konfiguration;uint16_t;;1;1;#;SERVICE1;1;
SYS.VFF.RoomCtrl.Cfg;58;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;VF-flat Raumregelbox-Konfiguration;uint16_t;;1;1;#;SERVICE1;1;
FWE.ScaldProtection.Temperature.Top;59;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;500;650;FWE-Verbruehschutz oben-Temp.;uint16_t;°C;1;10;####,# °C;SERVICE1;650;
FWE.ScaldProtection.Temperature.Bottom;60;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;500;650;FWE-Verbruehschutz unten-Temp.;uint16_t;°C;1;10;####,# °C;SERVICE1;600;
FWE.PerformanceFactor;61;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;50;150;FWE-Leistungsfaktor;uint16_t;%;1;1;### %;ADMIN;100;
FWE.FaultDetection.Come.Delay;62;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;90;"FWE-Stoererkennung ""kommt"" Zeitverzoegerung";uint16_t;min;1;1;### min;ADMIN;30;
FWE.FaultDetection.Come.DeltaT.InOut;63;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;200;"FWE-Stoererkennung ""kommt"" dT Ein-Austritt";uint16_t;°C;1;10;####,# °C;ADMIN;0;
FWE.FaultDetection.Come.Out.Min;64;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;300;"FWE-Stoererkennung ""kommt"" Austritt-Min.";uint16_t;°C;1;10;####,# °C;ADMIN;0;
FWE.FaultDetection.Interval;65;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;240;FWE-Stoererkennung Neupruefung-Intervallzeit;uint16_t;min;1;1;### min;ADMIN;0;
FWE.FaultDetection.Leave.DeltaT.InOut;66;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;200;"FWE-Stoererkennung ""geht"" dT Ein-Austritt";uint16_t;°C;1;10;####,# °C;ADMIN;0;
FWE.FaultDetection.Leave.Out.Min;67;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;600;"FWE-Stoererkennung ""geht"" Austritt-Min.";uint16_t;°C;1;10;####,# °C;ADMIN;0;
FWE.HZ.RV.P.Interval;68;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;1;20;FWE-HZ-RV P-Regler Zykluszeit;uint16_t;s;1;1;### s;ADMIN;0;
FWE.HZ.RV.P.Kp;69;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;100;FWE-HZ-RV P-Regler Verst.faktor Kp;uint16_t;;1;10;###,#;ADMIN;0;
FWE.HZ.RV.P.Base;70;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1000;FWE-HZ-RV P-Regler Basis;uint16_t;%;1;10;####,# %;ADMIN;0;
FWE.HZ.RV.P.Saturation.Min;71;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;-1000;-10;FWE-HZ-RV P-Regler Saettigung Min.;int16_t;%;1;10;####,# %;ADMIN;0;
FWE.HZ.RV.P.Saturation.Max;72;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1000;FWE-HZ-RV P-Regler Saettigung Max.;uint16_t;%;1;10;####,# %;ADMIN;0;
FWE.HZ.RV.I.Interval;73;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;1;30;FWE-HZ-RV I-Regler Zykluszeit;uint16_t;s;1;1;### s;ADMIN;0;
FWE.HZ.RV.I.Ki;74;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;100;FWE-HZ-RV I-Regler Verst.faktor Ki;uint16_t;;1;10;###,#;ADMIN;0;
FWE.HZ.RV.I.Ti;75;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;120;FWE-HZ-RV I-Regler Nachstellzeit Ti;uint16_t;s;1;1;### s;ADMIN;0;
FWE.HZ.RV.I.Saturation.Min;76;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;-1000;-10;FWE-HZ-RV I-Regler Saettigung Min.;int16_t;%;1;10;####,# %;ADMIN;0;
FWE.HZ.RV.I.Saturation.Max;77;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;10;1000;FWE-HZ-RV I-Regler Saettigung Max.;uint16_t;%;1;10;####,# %;ADMIN;0;
ZP.Available;78;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;ZP-Konfig. vorhanden/verwendet;uint16_t;;1;1;#;SERVICE1;0;
HG.Available;79;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;HG-Konfig. vorhanden/verwendet;uint16_t;;1;1;#;SERVICE1;1;
HG.AmbientTemperature.Source;80;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;HG-Konfig. AT-Quelle;uint16_t;;1;1;#;SERVICE1;2;
HG.TWW.Priority;81;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;HG-Konfig. TWW-Vorrang verwendet;uint16_t;;1;1;#;ALL;0;
HG.Mixer.Less.Stop.Deviation;82;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;50;HG-Mischer Tist<Tsoll Stop-Abweichung;uint16_t;K;1;10;###,# K;SERVICE1;0;
