Id;Register;Type;ValueHandling;Min;Max;Name;ValueType;Format;Multiplicator;Divisor;DigiVisuFormat;SecurityLevel;DefaultValue;DefaultExtModbusIndex
SYS.CollectiveFaultSignal;0;coil;READ_ONLY;0;1;Sammelstörmeldung;uint16_t;;1;1;;ALL;0;0
SYS.Update;1;coil;WRITE_ONLY;0;1;System-Reset;uint16_t;;1;1;;ADMIN;0;
SYS.Time.Hour;0;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;23;Systemzeit-Stunde;uint16_t;;1;1;;ALL;12;
SYS.Time.Minute;1;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;59;Systemzeit-Minute;uint16_t;;1;1;;ALL;0;
SYS.Time.DayOfWeek;2;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;6;Systemzeit-Wochentag;uint16_t;;1;1;;ALL;1;
SYS.CollectiveFault.BitField;0;Input-register;READ_ONLY;0;65535;Sammelstörungsbitfeld;uint16_t;;1;1;;ALL;0;1
SYS.CollectiveWarn.BitField;1;Input-register;READ_ONLY;0;65535;Sammelwarnungsbitfeld;uint16_t;;1;1;;ALL;0;2
SYS.CollectiveMessage.BitField;2;Input-register;READ_ONLY;0;65535;Sammelmeldungsbitfeld;uint16_t;;1;1;;ALL;8;3
FWE.Configuration;3;input-register;READ_ONLY;1;6;FWE-Konfiguration (FWE-Typ);uint16_t;;1;1;;SERVICE1;1;
ZP.Configuration;4;input-register;READ_ONLY;0;2;ZP-Konfiguration;uint16_t;;1;1;;SERVICE1;1;
SOL.Configuration;5;input-register;READ_ONLY;0;1;SOL-Konfiguration;uint16_t;;1;1;;SERVICE1;0;
THST.Configuration;6;input-register;READ_ONLY;0;1;Schalt-/Thermostatfunktion-Konfiguration;uint16_t;;1;1;;SERVICE1;0;
SYS.Cascade.Configuration;7;input-register;READ_ONLY;0;1;Kaskadenfunktion-Konfiguration;uint16_t;;1;1;;SERVICE1;0;
SYS.Volume.Sensor.Typ;8;input-register;READ_ONLY;0;2;Volumenstromsensor-Typ;uint16_t;;1;1;;SERVICE1;1;
FWE.Pump.Status;5;coil;READ_ONLY;0;1;FWE-Pumpe-Status (A01);uint16_t;;1;1;;ALL;1;4
FWE.Temperature.InletPrimary;12;input-register;READ_ONLY;-270;1005;FWE-Eintrittstemp. / SP-oben (TF02);int16_t;°C;1;10;####,#°C;ALL;700;5
FWE.Temperature.Outlet;13;input-register;READ_ONLY;-270;1005;FWE-Austrittstemp. (TF01);int16_t;°C;1;10;####,#°C;ALL;450;6
FWE.Volume;15;input-register;READ_ONLY;0;65535;TWW-Volumenstrom (VSS);uint16_t;l/min;1;10;###,# l/min;ALL;100;7
FWE.LoadPump;16;input-register;READ_ONLY;0;1000;FWE-Ladepumpe - Leistung (A01);uint16_t;%;1;10;####,# %;ALL;500;8
FWE.Temperature.InletSecondary;20;input-register;READ_ONLY;-270;1005;FWE-Eintrittstemp. Sekundär (TF03);int16_t;°C;1;10;####,#°C;ALL;300;9
FWE.LoadPump.Mode;3;Holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;FWE-Ladepumpe - Modus (A01);uint16_t;;1;1;;SERVICE1;2;10
FWE.Switch;4;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;FWE-Bereitung - Schalter;uint16_t;;1;1;;ALL;1;11
FWE.TWW.SetPoint;5;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;300;600;FWE-TWW-Solltemperatur;uint16_t;°C;1;10;####,#°C;ALL;500;12
FWE.LoadPump.Max;6;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;100;FWE/TWW-Ladepumpenbegrenzung (bei Variante B deaktiviert);uint16_t;%;1;1;### %;SERVICE1;100;
SYS.Date.Day;7;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;31;Systemdatum-Tag;uint16_t;;1;1;;ALL;20;
Sys.Date.Month;8;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;12;Systemdatum-Monat;uint16_t;;1;1;;ALL;12;
Sys.Date.Year;9;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;65535;Systemdatum-Jahr;uint16_t;;1;1;;ALL;2021;
ZP.Pump.Status;12;coil;READ_ONLY;0;1;ZP-Pumpe-Status (A02);uint16_t;;1;1;;ALL;1;13
ZP.Switch;16;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;3;ZP-Schalter;uint16_t;;1;1;;ALL;2;14
ZP.Pump.Mode;17;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;2;ZP-Pumpe-Modus;uint16_t;;1;1;;SERVICE1;2;15
