Id;Register;Type;ValueHandling;Min;Max;Name;ValueType;Format;Multiplicator;Divisor;DigiVisuFormat;SecurityLevel;DefaultValue;DefaultExtModbusIndex
SYS.Time.Hour;0;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;23;Systemzeit-Stunde;uint16_t;;1;1;;ALL;0;
SYS.Time.Minute;1;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;59;Systemzeit-Minute;uint16_t;;1;1;;ALL;0;
SYS.Time.DayOfWeek;2;holding-register;READ_ONLY;0;6;Systemzeit-Wochentag;uint16_t;;1;1;;ALL;0;
SYS.Date.Year;3;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;99;Systemdatum-Jahr;uint16_t;;1;1;;ALL;21;
SYS.Date.Month;4;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;1;12;Systemdatum-Monat;uint16_t;;1;1;;ALL;1;
SYS.Date.Day;5;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;1;31;Systemdatum-Tag;uint16_t;;1;1;;ALL;1;
SYS.DaylightSavingSwitch;6;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;Autom.Sommer-/Winterzeitumschaltung;uint16_t;;1;1;;SERVICE1;1;
SYS.Function.A06;7;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;Funktion-A06;uint16_t;;1;1;;SERVICE1;1;
SYS.AntiBlock.Switch;8;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;1;Anti-Blockier-Funktion - Schalter;uint16_t;;1;1;;ALL;1;
SYS.AntiBlock.Hour;9;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;23;Anti-Blockier-Funktion - Uhrzeit-Stunde;uint16_t;;1;1;;ALL;2;
SYS.Config.Modbus.SlaveId;10;holding-register;ON_CONFLICT_SLAVE_HAS_PRIORITY;0;128;SYS-Konf. Modbus-Slaveadresse;uint16_t;;1;1;###;SERVICE1;1;
